id,instansi,index_2023,domain1,domain2,domain3,domain4
i2023110600111,Lembaga Ketahanan Nasional RI,3.16,3.1,3,3.55,3.12
i2023110600322,"Badan Meteorologi, Klimatologi dan Geofisika",3.34,3.2,2.8,2.91,3.82
i2023110600112,Badan Narkotika Nasional,2.47,3,1.9,1.27,3.05
i2023110600114,Badan Nasional Penanggulangan Bencana,2.69,2.5,1.9,1.45,3.62
i2023110600118,Badan Keamanan Laut,3.18,3.1,2.7,2.18,3.82
i2023110600119,Badan Nasional Pencarian Dan Pertolongan,3.42,4,3,1.27,4.26
i2023110600120,Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah,3.47,4,2.9,2.09,4.14
i2023110600326,Badan Nasional Penanggulangan Terorisme,2.46,2.5,1.8,1.09,3.3
i2023110600127,Badan Perlindungan Pekerja Migran Indonesia,3.25,2.7,2.2,2,4.44
i2023110600317,Kejaksaan Agung,3.45,4,3.2,2.55,3.76
i2023110600094,Badan Intelijen Negara,3.93,4.1,4.1,3.36,3.99
i2023110600128,Markas Besar Kepolisian Republik Indonesia,3,2.9,3.4,2.09,3.14
i2023110600323,Sekretariat Kabinet,3.02,3,2.9,2.27,3.36
i2023110600095,Majelis Permusyawaratan Rakyat,2.93,3,2.5,1.64,3.62
i2023110600096,Dewan Perwakilan Rakyat,2.57,2.8,3.5,2.82,3.57
i2023110600318,Mahkamah Agung RI,3.19,2.5,2.4,2.18,3.19
i2023110600319,Badan Pemeriksa Keuangan,3.63,3.4,3.3,2.91,4.14
i2023110600324,Mahkamah Konstitusi,3.36,3.9,3.4,3,3.31
i2023110600116,Komisi Yudisial,3.21,3,2.9,2.36,3.75
i2023110600117,Dewan Perwakilan Daerah,2.24,1.9,1.9,1,2.98
i2023110600518,Badan Riset dan Inovasi Nasional,4.12,4.9,4.2,3.36,4.13
i2023110600016,Badan Pembinaan Ideologi Pancasila,3.11,3,2.6,2.64,3.6
i2023110600325,Televisi Republik Indonesia,2.47,2.6,1.5,1.45,3.34
i2023110600123,Radio Republik Indonesia,3.32,5,3.1,2.36,3.3
i2023110600097,Dewan Ketahanan Nasional,3.05,3.5,2.8,2.36,3.3
i2023110600113,Komisi Pemilihan Umum,3.62,3,2.7,2.73,4.63
i2023110600519,Komisi Nasional Hak Asasi Manusia,2.82,3.4,1.8,1.55,3.69
i2023110600115,Komisi Pemberantasan Korupsi,4.1,4.7,3.4,3.82,4.42
i2023110600121,Pusat Pelaporan dan Analisis Transaksi Keuangan,4.24,5,4,2.91,4.63
i2023110600122,Ombudsman Republik Indonesia,3.75,4.7,3.6,2.91,3.86
i2023110600124,Badan Nasional Pengelola Perbatasan,2.76,3.9,2.1,1.18,3.37
i2023110600327,Komisi Pengawas Persaingan Usaha,2.32,2.2,1.8,1.36,2.98
i2023110600328,Badan Pengawas Pemilihan Umum,3.12,3.7,2.6,1.55,3.82
i2023110600329,Komisi Penyiaran Indonesia,2.64,1,2.4,1.64,3.6
i2023110600331,Komisi Kejaksaan,1.46,1,1.7,1,1.63
i2023110600125,Komisi Aparatur Sipil Negara,3.32,2.9,3.4,2.27,3.77
i2023110600332,Dewan Pers,1.45,1.1,1.3,1,1.79
i2023110600333,Dewan Jaminan Sosial Nasional,3.13,3.3,3,1.18,3.86
i2023110600521,Badan Pengatur Hilir Minyak Dan Gas Bumi,3.42,3,3.2,2.27,4.07
i2023110600334,Lembaga Perlindungan Saksi Dan Korban,3.19,3,3,2.09,3.74
i2023110600335,Lembaga Sensor Film,2.61,3,1.5,1,3.69
i2023110600336,Konsil Kedokteran Indonesia,2.06,1,1.3,1,3.17
i2023110600337,Kantor Staf Presiden,3.36,5,4.3,1.55,3.04
